"time","L","R","T","out","pidL","pidR","sentL","sentR","pos","lost","deep","junc","jc","yw","u","sm","rd","sg","ar","rdir","s2","lt","rs","bv","el","er","S"
"05:48:16.923","0","0","0","0","0","0","0","0","30","0","0","0","0","276","1","0","0","0","255","1","0","0","0","110","0","0","4095,4095,0,0,0,4095,4095"
"05:48:17.226","0","0","0","0","0","0","0","0","30","0","0","0","0","276","1","0","0","0","255","1","0","0","0","108","0","0","4095,4095,0,0,0,4095,4095"
"05:48:17.522","0","0","0","0","0","0","0","0","30","0","0","0","0","276","1","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,0,4095,4095"
"05:48:17.817","0","0","0","0","0","0","0","0","30","0","0","0","0","276","1","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,0,4095,4095"
"05:48:18.126","0","0","0","0","0","0","0","0","30","0","0","0","0","276","1","0","0","0","255","1","0","0","0","110","0","0","4095,4095,0,0,1365,4095,4095"
"05:48:18.424","0","0","0","0","0","0","0","0","25","0","0","0","0","276","1","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,2730,4095,4095"
"05:48:18.727","0","0","0","0","0","0","0","0","25","0","0","0","0","276","1","0","0","0","255","1","0","0","0","110","0","0","4095,4095,0,0,2730,4095,4095"
"05:48:19.024","0","0","0","0","0","0","0","0","30","0","0","0","0","276","1","0","0","0","255","1","0","0","0","111","0","0","4095,4095,0,0,0,4095,4095"
"05:48:19.320","0","0","0","0","0","0","0","0","30","0","0","0","0","276","1","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,1365,4095,4095"
"05:48:19.622","0","0","0","0","0","0","0","0","25","0","0","0","0","276","1","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,2730,4095,4095"
"05:48:19.927","0","0","0","0","0","0","0","0","30","0","0","0","0","276","1","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,0,4095,4095"
"05:48:20.217","0","0","0","0","0","0","0","0","30","0","0","0","0","276","1","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,1365,4095,4095"
"05:48:20.526","0","0","0","0","0","0","0","0","30","0","0","0","0","276","1","0","0","0","255","1","0","0","0","108","0","0","4095,4095,0,0,0,4095,4095"
