"time","L","R","T","out","pidL","pidR","sentL","sentR","pos","lost","deep","junc","jc","yw","u","sm","rd","sg","ar","rdir","s2","lt","rs","bv","el","er","S"
"06:54:25.159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","255","1","0","0","0","0","0","0","0,0,0,0,0,0,0"
"06:54:25.462","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","255","1","0","0","0","75","0","0","4095,0,4095,4095,4095,4095,4095"
"06:54:25.763","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","255","1","0","0","0","78","0","0","4095,0,4095,4095,4095,4095,4095"
"06:54:26.065","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","255","1","0","0","0","75","0","0","4095,1365,4095,4095,4095,4095,4095"
"06:54:26.363","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","255","1","0","0","0","74","0","0","4095,0,4095,4095,4095,4095,4095"
"06:54:26.662","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","255","1","0","0","0","72","0","0","4095,0,4095,4095,4095,4095,4095"
"06:54:26.962","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","255","1","0","0","0","72","0","0","4095,0,4095,4095,4095,4095,4095"
"06:54:27.263","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","255","1","0","0","0","76","0","0","4095,0,4095,4095,4095,4095,4095"
"06:54:27.563","0","0","0","0","0","0","0","0","60","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","0","0","4095,4095,4095,4095,4095,4095,1365"
"06:54:27.863","0","0","0","0","0","0","0","0","60","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","0","0","4095,4095,4095,4095,4095,4095,1365"
"06:54:28.463","0","0","0","0","0","0","0","0","60","0","0","0","0","2","0","0","0","0","255","1","0","0","0","108","0","0","4095,4095,4095,4095,4095,4095,0"
"06:54:28.762","0","0","0","0","0","0","0","0","60","0","0","0","0","-1","0","0","0","0","255","1","0","0","0","108","0","0","0,0,0,0,0,0,0"
"06:54:29.061","0","0","0","0","0","0","0","0","60","0","0","0","0","5","0","0","0","0","255","1","0","0","0","109","0","0","0,0,0,0,0,0,0"
"06:54:29.361","0","0","0","0","0","0","0","0","60","0","0","0","0","6","0","0","0","0","255","1","0","0","0","109","0","0","0,0,0,0,0,0,0"
"06:54:29.662","0","0","0","0","0","0","0","0","60","0","0","0","0","6","0","0","0","0","255","1","0","0","0","110","0","0","0,0,0,0,0,0,0"
"06:54:29.962","0","0","0","0","0","0","0","0","40","0","0","0","0","5","0","0","0","0","255","1","0","0","0","111","0","0","1365,4095,2730,0,0,0,4095"
"06:54:30.261","0","0","0","0","0","0","0","0","30","0","0","0","0","5","0","0","0","0","255","1","0","0","0","109","0","0","0,4095,0,0,0,4095,4095"
"06:54:30.563","0","0","0","0","0","0","0","0","35","0","0","0","0","4","0","0","0","0","255","1","0","0","0","109","0","0","0,0,0,0,0,0,0"
"06:54:30.863","0","0","0","0","0","0","0","0","35","0","0","0","0","4","0","0","0","0","255","1","0","0","0","109","0","0","0,4095,1365,0,0,1365,4095"
"06:54:31.162","0","0","0","0","0","0","0","0","30","0","0","0","0","4","0","0","0","0","255","1","0","0","0","109","0","0","0,4095,0,0,0,4095,4095"
"06:54:31.462","0","0","0","0","0","0","0","0","30","0","0","0","0","4","0","0","0","0","255","1","0","0","0","110","0","0","2730,4095,1365,0,0,4095,4095"
"06:54:31.762","0","0","0","0","0","0","0","0","30","0","0","0","0","4","0","0","0","0","255","1","0","0","0","109","0","0","2730,4095,0,0,0,4095,4095"
"06:54:32.064","0","0","0","0","0","0","0","0","30","0","0","0","0","4","0","0","0","0","255","1","0","0","0","109","0","0","2730,4095,1365,0,0,4095,4095"
"06:54:32.362","0","0","0","0","0","0","0","0","30","0","0","0","0","4","0","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,0,4095,4095"
"06:54:32.655","0","0","0","0","0","0","0","0","30","0","0","0","0","3","0","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,0,4095,4095"
"06:54:32.957","0","0","0","0","0","0","0","0","30","0","0","0","0","3","0","0","0","0","255","1","0","0","0","109","0","0","2730,4095,0,0,0,4095,4095"
"06:54:33.263","0","0","0","0","0","0","0","0","30","0","0","0","0","3","0","0","0","0","255","1","0","0","0","109","0","0","1365,4095,0,0,0,4095,4095"
"06:54:33.563","0","0","28","0","70","70","1040","1160","30","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","7","6","4095,4095,0,0,0,4095,4095"
"06:54:33.863","46","46","28","70","70","70","920","950","30","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","23","21","4095,4095,0,0,0,4095,4095"
"06:54:34.163","46","40","28","77","77","77","927","957","30","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","36","32","4095,4095,0,0,0,4095,4095"
"06:54:34.464","46","36","28","70","70","70","920","950","30","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","50","44","4095,4095,0,0,0,4095,4095"
"06:54:34.763","46","40","28","70","87","52","937","932","35","0","0","0","0","0","0","0","0","0","255","1","0","0","0","108","64","55","4095,4095,4095,0,0,4095,4095"
"06:54:35.063","43","36","28","70","107","32","957","912","40","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","78","66","4095,4095,4095,0,0,0,4095"
"06:54:35.363","50","33","28","70","145","20","995","900","45","0","0","0","0","0","0","0","0","0","255","1","0","0","0","108","92","77","4095,4095,4095,4095,0,0,4095"
"06:54:35.663","50","40","28","70","213","20","983","820","50","0","1","0","0","0","0","0","0","0","255","1","0","0","0","109","108","87","4095,4095,4095,4095,1365,0,0"
"06:54:35.963","50","26","28","76","288","20","1058","820","55","0","1","0","0","0","0","0","0","0","255","1","0","0","0","109","124","95","4095,4095,4095,4095,4095,0,0"
"06:54:36.264","56","30","28","70","282","20","1052","820","55","0","1","0","0","0","0","0","0","0","255","1","0","0","0","110","141","105","4095,4095,4095,4095,4095,0,0"
"06:54:36.563","56","30","28","70","282","20","1052","820","55","0","1","0","0","0","0","0","0","0","255","1","0","0","0","109","158","114","4095,4095,4095,4095,4095,0,0"
"06:54:36.863","56","30","28","70","282","20","1052","820","55","0","1","0","0","0","0","0","0","0","255","1","0","0","0","109","175","122","4095,4095,4095,4095,4095,0,0"
"06:54:37.163","56","29","28","70","145","20","995","900","45","0","0","0","0","-1","0","0","0","0","255","1","0","0","0","109","191","132","4095,4095,4095,4095,0,0,4095"
"06:54:37.463","50","36","28","70","87","52","937","932","35","0","0","0","0","-1","0","0","0","0","255","1","0","0","0","109","205","143","4095,4095,4095,0,0,4095,4095"
"06:54:37.763","46","36","28","70","69","70","919","950","30","0","0","0","0","-1","0","0","0","0","255","1","0","0","0","109","219","154","4095,4095,0,0,0,4095,4095"
"06:54:38.064","43","36","28","70","32","107","882","987","20","0","0","0","0","-1","0","0","0","0","255","1","0","0","0","108","232","166","4095,0,0,0,4095,4095,4095"
"06:54:38.363","43","43","28","70","20","147","870","1027","15","0","0","0","0","-1","0","0","0","0","255","1","0","0","0","109","244","179","4095,0,0,4095,4095,4095,4095"
"06:54:38.661","43","43","28","70","20","145","870","1025","15","0","0","0","0","-1","0","0","0","0","255","1","0","0","0","110","257","193","4095,0,0,4095,4095,4095,4095"
"06:54:38.956","43","43","28","70","20","145","870","1025","15","0","0","0","0","-2","0","0","0","0","255","1","0","0","0","109","270","206","4095,0,0,4095,4095,4095,4095"
"06:54:39.256","40","46","28","70","20","282","790","1082","5","0","1","0","0","-1","0","0","0","0","255","1","0","0","0","109","281","221","0,0,4095,4095,4095,4095,4095"
"06:54:39.562","36","50","28","70","20","282","790","1082","5","0","1","0","0","-1","0","0","0","0","255","1","0","0","0","109","292","235","0,0,4095,4095,4095,4095,4095"
"06:54:39.863","33","50","28","70","20","282","790","1082","5","0","1","0","0","-1","0","0","0","0","255","1","0","0","0","110","303","250","0,0,4095,4095,4095,4095,4095"
"06:54:40.162","36","50","28","70","20","282","790","1082","5","0","1","0","0","-1","0","0","0","0","255","1","0","0","0","109","313","265","0,0,4095,4095,4095,4095,4095"
"06:54:40.464","36","46","28","70","20","282","790","1082","5","0","1","0","0","0","0","0","0","0","255","1","0","0","0","109","324","280","0,0,4095,4095,4095,4095,4095"
"06:54:40.762","33","50","28","70","20","282","790","1082","5","0","1","0","0","-1","0","0","0","0","255","1","0","0","0","109","334","295","0,0,4095,4095,4095,4095,4095"
"06:54:41.062","36","50","28","70","20","282","790","1082","5","0","1","0","0","-1","0","0","0","0","255","1","0","0","0","109","344","310","0,0,4095,4095,4095,4095,4095"
"06:54:41.362","33","50","28","70","20","282","790","1082","5","0","1","0","0","-1","0","0","0","0","255","1","0","0","0","109","355","325","0,0,4095,4095,4095,4095,4095"
"06:54:41.663","36","50","28","70","20","282","790","1082","5","0","1","0","0","-1","0","0","0","0","255","1","0","0","0","109","366","339","0,0,4095,4095,4095,4095,4095"
"06:54:41.963","33","50","28","70","20","282","790","1082","5","0","1","0","0","-1","0","0","0","0","255","1","0","0","0","108","376","354","0,0,4095,4095,4095,4095,4095"
"06:54:42.261","33","50","28","70","20","282","790","1082","5","0","1","0","0","-1","0","0","0","0","255","1","0","0","0","109","387","370","0,0,4095,4095,4095,4095,4095"
"06:54:42.562","36","50","28","70","20","282","790","1082","5","0","1","0","0","-1","0","0","0","0","255","1","0","0","0","109","397","384","0,0,4095,4095,4095,4095,4095"
"06:54:42.863","36","46","28","70","20","145","870","1025","15","0","0","0","0","-1","0","0","0","0","255","1","0","0","0","109","409","399","4095,0,0,4095,4095,4095,4095"
"06:54:43.163","39","49","28","70","32","107","882","987","20","0","0","0","0","-1","0","0","0","0","255","1","0","0","0","109","422","413","4095,0,0,0,4095,4095,4095"
"06:54:43.463","43","43","28","70","52","87","902","967","25","0","0","0","0","-1","0","0","0","0","255","1","0","0","0","109","435","425","4095,4095,0,0,4095,4095,4095"
"06:54:43.761","43","40","28","70","32","107","882","987","20","0","0","0","0","-2","0","0","0","0","255","1","0","0","0","109","448","438","4095,0,0,0,4095,4095,4095"
"06:54:44.062","43","43","0","0","0","0","0","0","20","0","0","0","0","-2","0","0","0","0","255","1","0","0","0","109","457","446","4095,0,0,0,4095,4095,4095"
"06:54:44.363","13","10","0","0","0","0","0","0","25","0","0","0","0","-1","0","0","0","0","255","1","0","0","0","109","457","446","4095,4095,0,0,4095,4095,4095"
"06:54:44.663","0","0","0","0","0","0","0","0","25","0","0","0","0","-2","0","0","0","0","255","1","0","0","0","109","457","446","4095,4095,0,0,2730,4095,4095"
"06:54:44.963","0","0","0","0","0","0","0","0","25","0","0","0","0","-3","0","0","0","0","255","1","0","0","0","109","457","446","4095,4095,0,0,4095,4095,4095"
"06:54:45.262","0","0","0","0","0","0","0","0","25","0","0","0","0","-2","0","0","0","0","255","1","0","0","0","108","457","446","4095,4095,0,0,4095,4095,4095"
"06:54:45.563","0","0","0","0","0","0","0","0","25","0","0","0","0","-1","0","0","0","0","255","1","0","0","0","109","457","446","4095,4095,0,0,2730,4095,4095"
"06:54:45.862","0","0","0","0","0","0","0","0","25","0","0","0","0","-2","0","0","0","0","255","1","0","0","0","109","457","446","4095,4095,0,0,2730,4095,4095"
"06:54:46.162","0","0","0","0","0","0","0","0","30","0","0","0","0","-2","0","0","0","0","255","1","0","0","0","110","457","446","4095,2730,0,0,1365,4095,4095"
"06:54:46.462","0","0","0","0","0","0","0","0","25","0","0","0","0","-2","0","0","0","0","255","1","0","0","0","110","457","446","4095,4095,0,0,4095,4095,4095"
"06:54:46.762","0","0","0","0","0","0","0","0","25","0","0","0","0","-2","0","0","0","0","255","1","0","0","0","109","457","446","4095,4095,0,0,2730,4095,4095"
"06:54:47.061","0","0","0","0","0","0","0","0","25","0","0","1","0","-1","0","0","0","0","255","1","0","0","0","72","457","446","0,0,0,0,0,4095,4095"
"06:54:47.361","0","0","0","0","0","0","0","0","25","0","0","0","0","-2","0","0","0","0","255","1","0","0","0","67","457","446","4095,0,0,0,0,4095,4095"
"06:54:47.662","0","0","0","0","0","0","0","0","25","0","0","0","0","-2","0","0","0","0","255","1","0","0","0","65","457","446","4095,0,0,0,0,4095,4095"
"06:54:47.962","0","0","0","0","0","0","0","0","25","0","0","0","0","-1","0","0","0","0","255","1","0","0","0","67","457","446","4095,0,0,0,0,4095,4095"
