"time","L","R","T","out","pidL","pidR","sentL","sentR","pos","lost","deep","junc","jc","yw","u","sm","rd","sg","ar","rdir","s2","lt","rs","bv","el","er","S"
"07:03:54.558","0","0","0","0","0","0","0","0","30","0","0","0","0","61","0","0","0","0","255","1","0","0","0","110","0","0","4095,4095,0,0,0,4095,4095"
"07:03:54.853","0","0","0","0","0","0","0","0","30","0","0","0","0","61","0","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,0,4095,4095"
"07:03:55.158","0","0","0","0","0","0","0","0","30","0","0","0","0","61","0","0","0","0","255","1","0","0","0","108","0","0","4095,4095,0,0,0,4095,4095"
"07:03:55.457","0","0","0","0","0","0","0","0","30","0","0","0","0","61","0","0","0","0","255","1","0","0","0","110","0","0","4095,4095,0,0,0,4095,4095"
"07:03:55.757","0","0","0","0","0","0","0","0","30","0","0","0","0","61","0","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,0,4095,4095"
"07:03:56.058","0","0","0","0","0","0","0","0","30","0","0","0","0","61","0","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,0,4095,4095"
"07:03:56.358","0","0","0","0","0","0","0","0","30","0","0","0","0","61","0","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,0,4095,4095"
"07:03:56.658","0","0","0","0","0","0","0","0","30","0","0","0","0","61","0","0","0","0","255","1","0","0","0","108","0","0","4095,4095,1365,0,1365,4095,4095"
"07:03:56.958","0","0","0","0","0","0","0","0","30","0","0","0","0","61","0","0","0","0","255","1","0","0","0","110","0","0","4095,4095,0,0,0,4095,4095"
"07:03:57.258","0","0","0","0","0","0","0","0","30","0","0","0","0","61","0","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,0,4095,4095"
"07:03:57.559","0","0","28","0","32","107","1002","1197","20","0","0","0","0","-10","0","0","0","0","255","1","0","0","0","109","2","0","4095,0,0,1365,4095,4095,4095"
"07:03:57.860","13","9","28","70","20","282","790","1182","0","0","1","0","0","-3","0","0","0","0","255","1","0","0","0","109","9","7","0,4095,4095,4095,4095,4095,4095"
"07:03:58.160","23","26","28","70","20","145","870","1025","15","0","0","0","0","7","0","0","0","0","255","1","0","0","0","109","16","16","4095,0,0,4095,4095,4095,4095"
"07:03:58.456","26","26","28","78","96","61","946","941","35","0","0","0","0","-1","0","0","0","0","255","1","0","0","0","109","24","23","4095,4095,4095,0,0,4095,4095"
"07:03:58.756","26","23","28","83","20","296","790","1096","5","0","1","0","0","-10","0","0","0","0","255","1","0","0","0","109","32","30","0,0,4095,4095,4095,4095,4095"
"07:03:59.060","26","23","28","84","20","297","790","1097","5","0","1","0","0","0","0","0","0","0","255","1","0","0","0","109","39","38","0,0,4095,4095,4095,4095,4095"
"07:03:59.359","26","30","28","79","116","43","966","923","20","0","0","0","0","0","0","0","0","0","255","1","0","0","0","110","48","47","4095,0,0,0,4095,4095,4095"
"07:03:59.659","30","30","28","78","20","290","790","1090","5","0","1","0","0","-3","0","0","0","0","255","1","0","0","0","109","58","56","0,0,4095,4095,4095,4095,4095"
"07:03:59.960","33","30","28","75","25","150","875","1030","15","0","0","0","0","-1","0","0","0","0","255","1","0","0","0","109","67","66","4095,0,0,4095,4095,4095,4095"
"07:04:00.259","30","30","28","77","27","152","877","1032","15","0","0","0","0","-2","0","0","0","0","255","1","0","0","0","109","76","75","4095,0,0,4095,4095,4095,4095"
"07:04:00.559","30","33","28","72","72","72","922","952","15","0","0","1","0","-3","0","0","0","0","255","1","0","0","0","109","85","84","0,0,0,0,0,2730,4095"
"07:04:00.861","30","26","28","78","161","20","931","820","10","0","1","0","0","-3","0","0","0","0","255","1","0","0","0","109","94","93","4095,0,4095,4095,4095,4095,4095"
"07:04:01.160","29","29","28","73","20","286","790","1086","5","0","1","0","0","-2","0","0","0","0","255","1","0","0","0","108","103","101","0,0,4095,4095,4095,4095,4095"
"07:04:01.456","26","30","28","75","25","150","875","1030","15","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","112","111","4095,0,0,4095,4095,4095,4095"
"07:04:01.758","33","33","28","70","32","107","882","987","20","0","0","0","0","-4","0","0","0","0","255","1","0","0","0","109","122","120","4095,0,0,0,4095,4095,4095"
"07:04:02.056","33","30","28","73","20","285","790","1085","5","0","1","0","0","-3","0","0","0","0","255","1","0","0","0","110","132","130","0,0,4095,4095,4095,4095,4095"
"07:04:02.360","33","33","28","70","20","145","870","1025","15","0","0","0","0","-2","0","0","0","0","255","1","0","0","0","110","141","139","4095,0,0,4095,4095,4095,4095"
"07:04:02.660","30","30","28","74","24","149","874","1029","15","0","0","0","0","-2","0","0","0","0","255","1","0","0","0","109","151","149","4095,0,0,4095,4095,4095,4095"
"07:04:03.261","26","30","22","79","20","399","790","1199","0","69","1","0","0","20","0","0","0","0","255","1","0","0","0","109","167","167","4095,4095,4095,4095,4095,4095,4095"
"07:04:03.561","23","30","22","70","20","282","790","1082","0","139","1","0","0","41","0","0","0","0","255","1","0","0","0","109","175","178","4095,4095,4095,4095,4095,4095,4095"
"07:04:03.863","26","36","22","70","20","282","790","1082","0","209","1","0","0","55","0","0","0","0","255","1","0","0","0","110","183","187","4095,4095,4095,4095,4095,4095,4095"
"07:04:04.161","26","30","22","74","394","20","1164","820","60","16","1","0","0","54","0","0","0","0","255","1","0","0","0","110","191","196","4095,4095,4095,4095,4095,4095,4095"
"07:04:04.459","33","26","28","70","20","282","790","1082","0","0","1","0","0","19","0","0","0","0","255","1","0","0","0","109","203","203","0,4095,4095,4095,4095,4095,0"
"07:04:04.758","26","16","28","95","20","308","790","1108","0","0","1","0","0","19","0","0","0","0","255","1","0","0","0","109","204","204","0,4095,4095,4095,4095,4095,4095"
"07:04:05.056","0","0","28","131","20","344","890","1244","0","0","1","0","0","19","0","0","0","0","255","1","0","0","0","109","204","204","0,4095,4095,4095,4095,4095,4095"
"07:04:05.356","0","0","28","133","20","346","890","1246","0","0","1","0","0","19","0","0","0","0","255","1","0","0","0","109","204","204","0,4095,4095,4095,4095,4095,4095"
"07:04:05.659","0","0","28","150","20","363","890","1263","0","0","1","0","0","19","0","0","0","0","255","1","0","0","0","109","204","204","0,4095,4095,4095,4095,4095,4095"
"07:04:05.954","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","255","1","0","0","0","110","204","204","1365,4095,4095,4095,4095,4095,2730"
"07:04:06.259","0","0","0","0","0","0","0","0","60","0","0","0","0","9","0","0","0","0","255","1","0","0","0","109","204","204","4095,2730,4095,4095,4095,2730,1365"
"07:04:06.557","0","0","0","0","0","0","0","0","60","0","0","0","0","12","0","0","0","0","255","1","0","0","0","109","204","204","0,0,0,0,0,0,0"
"07:04:06.853","0","0","0","0","0","0","0","0","60","0","0","0","0","33","0","0","0","0","255","1","0","0","0","109","204","204","0,0,0,0,0,0,0"
"07:04:07.158","0","0","0","0","0","0","0","0","60","0","0","0","0","69","0","0","0","0","255","1","0","0","0","109","204","204","0,0,0,0,0,0,0"
"07:04:07.458","0","0","0","0","0","0","0","0","60","0","0","0","0","94","0","0","0","0","255","1","0","0","0","108","204","204","0,0,0,0,0,0,0"
