"time","L","R","T","out","pidL","pidR","sentL","sentR","pos","lost","deep","junc","jc","yw","u","sm","rd","sg","ar","rdir","s2","lt","rs","es","bv","el","er","S"
"07:18:17.115","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,0,0,0,4095,4095"
"07:18:17.415","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,0,0,0,4095,4095"
"07:18:17.716","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,0,0,0,4095,4095"
"07:18:18.014","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","110","0","0","4095,4095,0,0,0,4095,4095"
"07:18:18.315","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,0,0,0,4095,4095"
"07:18:18.613","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,0,0,0,4095,4095"
"07:18:18.917","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,0,0,0,4095,4095"
"07:18:19.211","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","108","0","0","4095,4095,0,0,0,4095,4095"
"07:18:19.516","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,1365,0,1365,4095,4095"
"07:18:19.816","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,1365,0,0,4095,4095"
"07:18:20.115","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,0,0,0,4095,4095"
"07:18:20.429","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","110","0","0","4095,4095,0,0,0,4095,4095"
"07:18:20.728","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","110","0","0","4095,4095,0,0,0,4095,4095"
"07:18:21.029","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,0,0,0,4095,4095"
"07:18:21.328","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,0,0,0,4095,4095"
"07:18:21.623","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","110","0","0","4095,4095,0,0,0,4095,4095"
"07:18:21.926","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,0,0,0,4095,4095"
"07:18:22.229","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,1365,0,1365,4095,4095"
"07:18:22.528","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","110","0","0","4095,4095,0,0,0,4095,4095"
"07:18:22.828","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,0,0,0,4095,4095"
"07:18:23.127","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,0,0,0,4095,4095"
"07:18:23.728","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","110","0","0","4095,4095,0,0,0,4095,4095"
"07:18:24.028","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,1365,0,0,4095,4095"
"07:18:24.329","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","108","0","0","4095,4095,0,0,0,4095,4095"
"07:18:24.628","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,1365,0,1365,4095,4095"
"07:18:24.928","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","107","0","0","4095,4095,0,0,0,4095,4095"
"07:18:25.228","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,1365,0,0,4095,4095"
"07:18:25.528","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","110","0","0","4095,4095,0,0,0,4095,4095"
"07:18:25.824","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,0,0,0,4095,4095"
