"run","frame","time","duration","observation","L","R","T","out","pidL","pidR","sentL","sentR","pos","lost","deep","junc","jc","yw","u","sm","rd","sg","ar","rdir","s2","lt","rs","es","fn","bv","el","er","S"
"1","1","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","0","0","0","0","0","0","0","0","30","0","0","0","0","77","0","0","0","0","255","1","0","0","0","2","0","109","0","0","4095,4095,0,0,0,4095,4095"
"1","2","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","0","0","28","0","49","90","1106","1279","25","0","0","0","0","-2","0","0","0","0","255","1","0","0","0","3","1","108","1","1","4095,4095,0,0,4095,4095,4095"
"1","3","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","6","6","28","70","243","20","1300","1209","45","0","0","0","0","0","0","0","0","0","255","1","0","0","0","3","1","109","7","8","4095,4095,4095,4095,0,1365,4095"
"1","4","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","36","36","28","70","20","154","955","1188","15","0","0","0","0","-7","0","0","0","0","255","1","0","0","0","3","1","109","21","20","4095,0,0,4095,4095,4095,4095"
"1","5","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","43","40","28","75","287","20","1134","900","10","0","1","0","0","0","0","0","0","0","255","1","0","0","0","3","1","109","32","32","4095,0,2730,4095,4095,4095,4095"
"1","6","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","36","36","28","81","20","294","867","1174","0","0","1","0","0","-2","0","0","0","0","255","1","0","0","0","3","1","109","43","42","0,4095,4095,4095,4095,4095,4095"
"1","7","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","33","36","28","76","116","36","1051","1070","35","0","0","0","0","17","0","0","0","0","255","1","0","0","0","3","1","109","51","53","4095,4095,4095,0,0,4095,4095"
"1","8","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","26","33","28","81","293","20","1140","900","60","0","1","0","0","-6","0","0","0","0","255","1","0","0","0","3","1","109","62","63","4095,4095,4095,4095,4095,4095,0"
"1","9","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","43","30","28","70","20","282","867","1162","5","0","1","0","0","-18","0","0","0","0","255","1","0","0","0","3","1","109","75","73","0,0,4095,4095,4095,4095,4095"
"1","10","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","36","36","22","70","0","277","0","1157","5","69","1","0","0","14","0","0","0","0","255","1","0","0","0","3","1","109","84","84","4095,4095,4095,4095,4095,4095,4095"
"1","11","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","20","40","28","70","145","20","992","900","45","0","0","0","1","44","0","0","0","0","255","1","0","0","0","3","1","109","87","93","4095,4095,4095,4095,0,0,4095"
"1","12","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","16","23","28","98","418","20","1265","900","60","5","1","0","1","27","0","0","0","0","255","1","0","0","0","3","1","108","96","101","4095,4095,4095,4095,4095,4095,4095"
"1","13","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","36","29","22","70","390","0","1237","0","60","74","1","0","1","-41","0","0","0","0","255","1","0","0","0","3","1","109","109","108","4095,4095,4095,4095,4095,4095,4095"
"1","14","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","47","10","28","72","0","285","0","1165","0","139","1","0","1","-130","0","0","0","0","255","1","0","0","0","3","1","109","123","108","0,4095,4095,4095,4095,4095,4095"
"1","15","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","33","6","22","100","420","20","1267","900","60","35","1","0","1","-135","0","0","0","0","255","1","0","0","0","3","1","109","127","113","4095,4095,4095,4095,4095,4095,4095"
"1","16","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","26","19","0","0","0","0","0","0","0","0","0","0","1","-192","1","0","0","1","255","1","0","0","0","3","0","109","138","117","4095,4095,4095,4095,4095,4095,4095"
"1","17","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","20","3","0","0","0","0","0","0","0","0","0","0","1","-192","1","0","0","1","255","1","0","0","0","3","0","109","139","117","4095,4095,4095,4095,4095,4095,4095"
"1","18","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","0","0","0","0","0","0","0","0","0","0","0","0","1","-192","1","0","0","1","255","1","0","0","0","3","0","109","139","117","4095,4095,4095,4095,4095,4095,4095"
"1","19","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","0","0","0","0","0","0","0","0","0","0","0","0","1","-192","1","0","0","1","255","1","0","0","0","3","0","109","139","117","4095,4095,4095,4095,4095,4095,4095"
"1","20","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","0","0","0","0","0","0","0","0","0","0","0","0","1","-192","1","0","0","1","255","1","0","0","0","3","0","109","139","117","4095,4095,4095,4095,4095,4095,4095"
"1","21","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","0","0","0","0","0","0","0","0","0","0","0","0","1","-192","1","0","0","1","255","1","0","0","0","3","0","109","139","117","4095,4095,4095,4095,4095,4095,4095"
"1","22","2026-06-08 08:38:28","00:06.7","直线巡线起步不稳","0","0","0","0","0","0","0","0","0","0","0","0","1","-192","1","0","0","1","255","1","0","0","0","3","0","109","139","117","4095,4095,4095,4095,4095,4095,4095"
