"run","frame","time","duration","observation","L","R","T","out","pidL","pidR","sentL","sentR","pos","lost","deep","junc","jc","yw","u","sm","rd","sg","ar","rdir","s2","lt","rs","es","fn","bv","el","er","S"
"1","1","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","0","0","0","0","0","0","0","0","30","0","0","0","0","15","0","0","0","0","255","1","0","0","0","2","0","110","0","0","4095,4095,0,0,0,4095,4095"
"1","2","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","0","0","28","0","70","70","952","1072","30","0","0","0","0","1","0","0","0","0","255","1","0","0","0","3","1","109","0","0","4095,4095,0,0,0,4095,4095"
"1","3","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","0","0","28","70","282","20","1152","920","55","0","1","0","0","4","0","0","0","0","255","1","0","0","0","3","1","108","3","3","4095,4095,4095,4095,4095,0,0"
"1","4","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","19","16","28","70","20","154","870","1094","15","0","0","0","0","-11","0","0","0","0","255","1","0","0","0","3","1","109","12","9","4095,0,0,4095,4095,4095,4095"
"1","5","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","30","26","28","70","20","282","790","1082","0","0","1","0","0","-1","0","0","0","0","255","1","0","0","0","3","1","109","20","19","0,4095,4095,4095,4095,4095,4095"
"1","6","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","26","33","28","74","63","85","833","885","20","0","0","0","0","8","0","0","0","0","255","1","0","0","0","3","1","109","28","28","4095,0,0,0,4095,4095,4095"
"1","7","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","26","26","28","81","99","63","949","1003","35","0","0","0","0","2","0","0","0","0","255","1","0","0","0","3","1","109","35","35","4095,4095,4095,0,0,4095,4095"
"1","8","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","26","23","28","83","65","100","915","1040","25","0","0","0","0","-3","0","0","0","0","255","1","0","0","0","3","1","109","44","43","4095,4095,0,0,4095,4095,4095"
"1","9","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","30","30","28","73","23","148","873","1088","15","0","0","0","0","-1","0","0","0","0","255","1","0","0","0","3","1","110","53","52","4095,0,0,4095,4095,4095,4095"
"1","10","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","33","33","28","70","32","107","882","1047","20","0","0","0","0","1","0","0","0","0","255","1","0","0","0","3","1","110","63","63","4095,0,0,0,4095,4095,4095"
"1","11","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","30","33","28","72","54","89","904","1029","25","0","0","0","0","1","0","0","0","0","255","1","0","0","0","3","1","109","72","72","4095,4095,0,0,4095,4095,4095"
"1","12","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","30","30","28","71","54","89","904","1029","25","0","0","0","0","-2","0","0","0","0","255","1","0","0","0","3","1","109","83","81","4095,4095,0,0,4095,4095,4095"
"1","13","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","36","30","28","70","20","145","870","1085","15","0","0","0","0","-3","0","0","0","0","255","1","0","0","0","3","1","109","92","91","4095,0,0,4095,4095,4095,4095"
"1","14","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","30","36","28","70","32","107","882","1047","20","0","0","0","0","2","0","0","0","0","255","1","0","0","0","3","1","109","102","101","4095,0,0,0,4095,4095,4095"
"1","15","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","30","30","28","72","90","55","940","995","35","0","0","0","0","-1","0","0","0","0","255","1","0","0","0","3","1","109","111","111","4095,4095,4095,0,0,4095,4095"
"1","16","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","36","33","28","70","32","107","882","1047","20","0","0","0","0","-4","0","0","0","0","255","1","0","0","0","3","1","109","122","120","4095,0,0,0,4095,4095,4095"
"1","17","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","33","30","28","75","25","150","875","1090","15","0","0","0","0","0","0","0","0","0","255","1","0","0","0","3","1","109","132","131","4095,0,0,4095,4095,4095,4095"
"1","18","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","33","36","28","70","52","87","902","1027","25","0","0","0","0","2","0","0","0","0","255","1","0","0","0","3","1","109","141","141","4095,4095,0,0,4095,4095,4095"
"1","19","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","33","33","28","71","88","53","938","993","35","0","0","0","0","-2","0","0","0","0","255","1","0","0","0","3","1","109","151","149","4095,4095,4095,0,0,4095,4095"
"1","20","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","30","26","28","77","27","155","877","1095","15","0","0","0","0","-4","0","0","0","0","255","1","0","0","0","3","1","109","160","159","4095,0,0,4095,4095,4095,4095"
"1","21","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","30","33","22","70","0","390","0","1190","0","65","1","0","0","31","0","0","0","0","255","1","0","0","0","3","1","109","168","168","4095,4095,4095,4095,4095,4095,4095"
"1","22","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","13","33","28","74","92","56","942","996","35","0","0","0","0","73","0","0","0","0","255","1","0","0","0","3","1","109","171","178","4095,4095,4095,0,0,4095,4095"
"1","23","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","20","30","28","80","30","292","880","1232","15","0","0","0","0","68","0","0","0","0","255","1","0","0","0","3","1","110","180","187","4095,0,0,2730,4095,4095,4095"
"1","24","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","33","33","22","70","20","130","870","1070","15","69","0","0","0","79","0","0","0","0","255","1","0","0","0","3","1","109","190","199","4095,4095,4095,4095,4095,4095,4095"
"1","25","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","36","36","22","70","0","282","0","1082","15","138","1","0","0","101","0","0","0","0","255","1","0","0","0","3","1","109","200","209","4095,4095,4095,4095,4095,4095,4095"
"1","26","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","16","33","22","88","0","300","0","1100","15","207","1","0","0","183","1","0","0","1","255","1","0","0","0","3","1","109","200","219","4095,4095,4095,4095,4095,4095,4095"
"1","27","2026-06-08 09:11:06","00:09.0","u弯丢线，没有及时丢弯","0","33","22","93","0","305","0","1105","15","276","1","0","0","258","1","0","0","1","255","1","0","0","0","3","1","109","200","228","4095,4095,4095,4095,4095,4095,4095"
