run,L,R,T,out,pid_l,pid_r,sent_l,sent_r,pos,lost,deep,junc,jc,yw,u,sm,rd,sg,ar,rdir,s2,lt,rs,es,fn,bv,el,er,S0,S1,S2,S3,S4,S5,S6
1,0,0,0,0,0,0,0,0,30,0,0,0,0,-130,0,0,0,0,255,1,0,0,0,2,0,109,0,0,4095,4095,0,0,0,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,-130,0,0,0,0,255,1,0,0,0,2,0,110,0,0,4095,4095,0,0,0,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,-130,0,0,0,0,255,1,0,0,0,2,0,109,0,0,4095,4095,0,0,0,4095,4095
1,0,0,28,0,31,108,1001,1198,25,0,0,0,0,-2,0,0,0,0,255,1,0,0,0,3,1,108,0,0,4095,4095,0,0,4095,4095,4095
1,3,3,28,70,32,107,1002,1197,20,0,0,0,0,-3,0,0,0,0,255,1,0,0,0,3,1,109,5,5,4095,0,0,0,4095,4095,4095
1,30,26,28,70,38,101,888,1041,20,0,0,0,0,0,0,0,0,0,255,1,0,0,0,3,1,110,16,16,4095,0,0,0,4095,4095,4095
1,33,36,28,74,56,92,906,1032,25,0,0,0,0,2,0,0,0,0,255,1,0,0,0,3,1,109,25,25,4095,4095,0,0,4095,4095,4095
1,30,30,28,84,101,66,951,1006,35,0,0,0,0,-4,0,0,0,0,255,1,0,0,0,3,1,108,35,34,4095,4095,2730,0,0,4095,4095
1,33,30,28,76,26,151,876,1091,15,0,0,0,0,-4,0,0,0,0,255,1,0,0,0,3,1,109,45,44,4095,0,0,4095,4095,4095,4095
1,33,36,28,70,20,145,790,945,15,0,0,0,0,0,0,0,0,0,255,1,0,0,0,3,1,108,55,54,4095,0,0,4095,4095,4095,4095
1,33,30,28,74,36,111,886,1051,20,0,0,0,0,2,0,0,0,0,255,1,0,0,0,3,1,110,64,64,4095,0,0,0,4095,4095,4095
1,30,33,28,70,87,52,937,992,35,0,0,0,0,-1,0,0,0,0,255,1,0,0,0,3,1,109,74,73,4095,4095,4095,0,0,4095,4095
1,33,30,28,70,32,107,882,1047,20,0,0,0,0,-4,0,0,0,0,255,1,0,0,0,3,1,109,84,83,4095,0,0,0,4095,4095,4095
1,33,36,28,70,20,145,870,1085,15,0,0,0,0,0,0,0,0,0,255,1,0,0,0,3,1,110,94,93,4095,0,0,4095,4095,4095,4095
1,33,33,28,71,71,71,921,1011,30,0,0,0,0,1,0,0,0,0,255,1,0,0,0,3,1,109,104,104,4095,4095,0,0,0,4095,4095
1,33,33,28,70,87,52,937,992,35,0,0,0,0,-4,0,0,0,0,255,1,0,0,0,3,1,109,114,113,4095,4095,4095,0,0,4095,4095
1,36,30,28,70,20,145,870,1085,15,0,0,0,0,-4,0,0,0,0,255,1,0,0,0,3,1,109,124,123,4095,0,0,4095,4095,4095,4095
1,30,36,28,70,20,252,790,1052,10,0,1,0,0,0,0,0,0,0,255,1,0,0,0,3,1,109,135,133,4095,0,2730,4095,4095,4095,4095
1,33,33,28,70,76,63,926,1003,25,0,0,0,0,1,0,0,0,0,255,1,0,0,0,3,1,109,143,143,4095,4095,0,0,4095,4095,4095
1,30,30,28,72,55,90,905,1030,25,0,0,0,0,-1,0,0,0,0,255,1,0,0,0,3,1,109,153,153,4095,4095,0,0,4095,4095,4095
1,33,33,28,70,20,282,790,1082,0,0,1,0,0,3,0,0,0,0,255,1,0,0,0,3,1,111,163,162,0,2730,4095,4095,4095,4095,4095
1,33,30,22,72,0,392,0,1192,0,68,1,0,0,52,0,0,0,0,255,1,0,0,0,3,1,109,169,172,4095,4095,4095,4095,4095,4095,4095
1,6,36,28,76,289,20,1059,820,55,0,1,0,0,88,0,0,0,0,255,1,0,0,0,3,1,108,171,182,4095,4095,4095,4095,4095,0,0
1,20,26,28,82,20,294,790,1094,10,0,1,0,0,67,0,0,0,0,255,1,0,0,0,3,1,109,181,189,1365,0,0,4095,4095,4095,4095
1,33,26,22,70,0,185,0,985,10,69,1,0,0,101,0,0,0,0,255,1,0,0,0,3,1,109,189,199,4095,4095,4095,4095,4095,4095,4095
1,13,33,22,74,0,286,0,1086,10,139,1,0,0,165,0,0,0,0,255,1,0,0,0,3,1,109,189,207,4095,4095,4095,4095,4095,4095,4095
1,0,23,0,0,0,0,0,0,60,0,0,0,0,188,1,0,0,1,255,1,0,0,0,3,0,109,190,213,4095,4095,4095,4095,4095,4095,0
1,3,10,0,0,0,0,0,0,60,0,0,0,0,188,1,0,0,1,255,1,0,0,0,3,0,110,190,213,4095,4095,4095,4095,4095,4095,0
1,0,0,0,0,0,0,0,0,60,0,0,0,0,188,1,0,0,1,255,1,0,0,0,3,0,109,190,213,4095,4095,4095,4095,4095,4095,0
1,0,0,0,0,0,0,0,0,60,0,0,0,0,188,1,0,0,1,255,1,0,0,0,3,0,110,190,213,4095,4095,4095,4095,4095,4095,0
