run,L,R,T,out,pid_l,pid_r,sent_l,sent_r,pos,lost,deep,junc,jc,yw,u,sm,rd,sg,ar,rdir,s2,lt,rs,es,fn,bv,el,er,S0,S1,S2,S3,S4,S5,S6
1,0,0,0,0,0,0,0,0,25,0,0,0,0,547,1,0,0,0,255,1,0,0,0,1,0,109,0,0,4095,4095,0,0,4095,4095,4095
1,0,0,0,0,0,0,0,0,25,0,0,0,0,547,1,0,0,0,255,1,0,0,0,1,0,110,0,0,4095,4095,0,0,4095,4095,4095
1,0,0,0,0,0,0,0,0,25,0,0,0,0,547,1,0,0,0,255,1,0,0,0,1,0,110,0,0,4095,4095,0,0,4095,4095,4095
1,0,0,0,0,0,0,0,0,25,0,0,0,0,547,1,0,0,0,255,1,0,0,0,1,0,109,0,0,4095,4095,0,0,4095,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,547,1,0,0,0,255,1,0,0,0,1,0,110,0,0,4095,4095,0,0,1365,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,547,1,0,0,0,255,1,0,0,0,1,0,110,0,0,4095,4095,0,0,0,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,547,1,0,0,0,255,1,0,0,0,1,0,109,0,0,4095,4095,0,0,0,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,547,1,0,0,0,255,1,0,0,0,1,0,110,0,0,4095,4095,0,0,0,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,547,1,0,0,0,255,1,0,0,0,1,0,110,0,0,4095,4095,0,0,0,4095,4095
1,0,0,28,0,87,52,1057,1142,35,0,0,0,0,1,0,0,0,0,255,1,0,0,0,1,1,108,0,0,4095,4095,4095,0,0,4095,4095
1,9,9,28,70,87,52,1057,1142,35,0,0,0,0,0,0,0,0,0,255,1,0,0,0,1,1,109,8,8,4095,4095,4095,0,0,4095,4095
1,29,29,28,70,23,116,873,1056,20,0,0,0,0,-3,0,0,0,0,255,1,0,0,0,1,1,109,19,18,4095,0,0,0,4095,4095,4095
1,36,33,28,72,34,110,884,1050,20,0,0,0,0,0,0,0,0,0,255,1,0,0,0,1,1,109,28,28,4095,0,0,0,4095,4095,4095
1,30,33,28,78,60,95,910,1035,25,0,0,0,0,2,0,0,0,0,255,1,0,0,0,1,1,109,36,36,4095,4095,0,0,4095,4095,4095
1,26,26,28,85,66,103,916,1043,25,0,0,0,0,0,0,0,0,0,255,1,0,0,0,1,1,108,46,45,4095,4095,0,0,4095,4095,4095
1,33,30,28,71,33,109,883,1049,20,0,0,0,0,-1,0,0,0,0,255,1,0,0,0,1,1,109,56,55,4095,0,0,0,4095,4095,4095
1,33,33,28,70,32,107,882,1047,20,0,0,0,0,0,0,0,0,0,255,1,0,0,0,1,1,110,65,64,4095,0,0,0,4095,4095,4095
1,30,30,28,74,56,91,906,1031,25,0,0,0,0,0,0,0,0,0,255,1,0,0,0,1,1,108,75,74,4095,4095,0,0,4095,4095,4095
1,33,33,28,70,32,107,882,1047,20,0,0,0,0,0,0,0,0,0,255,1,0,0,0,1,1,109,84,84,4095,0,0,0,4095,4095,4095
1,30,33,28,72,34,109,884,1049,20,0,0,0,0,1,0,0,0,0,255,1,0,0,0,1,1,109,94,93,4095,0,0,0,4095,4095,4095
1,33,30,28,70,70,69,920,1009,30,0,0,0,0,0,0,0,0,0,255,1,0,0,0,1,1,109,103,102,4095,4095,0,0,0,4095,4095
1,30,30,28,70,53,88,903,1028,25,0,0,0,0,-2,0,0,0,0,255,1,0,0,0,1,1,109,113,112,4095,4095,0,0,4095,4095,4095
1,33,33,28,70,20,145,870,1085,15,0,0,0,0,0,0,0,0,0,255,1,0,0,0,1,1,109,123,121,4095,0,0,4095,4095,4095,4095
1,33,33,28,70,32,107,882,1047,20,0,0,0,0,2,0,0,0,0,255,1,0,0,0,1,1,109,133,132,4095,0,0,0,4095,4095,4095
1,33,33,28,70,87,52,937,992,35,0,0,0,0,1,0,0,0,0,255,1,0,0,0,1,1,109,143,142,4095,4095,4095,0,0,4095,4095
1,33,30,28,70,52,87,902,1027,25,0,0,0,0,-3,0,0,0,0,255,1,0,0,0,1,1,109,152,151,4095,4095,0,0,4095,4095,4095
1,30,30,28,70,20,282,790,1082,5,0,1,0,0,0,0,0,0,0,255,1,0,0,0,1,1,109,161,160,0,0,4095,4095,4095,4095,4095
1,30,33,22,70,0,276,0,1076,5,69,1,0,0,42,0,0,0,0,255,1,0,0,0,1,1,109,168,169,4095,4095,4095,4095,4095,4095,4095
1,10,30,28,78,164,28,1014,968,45,0,0,0,0,73,0,0,0,0,255,1,0,0,0,1,1,109,169,177,4095,4095,4095,4095,0,0,4095
1,16,23,28,88,20,301,790,1101,10,0,1,0,0,64,0,0,0,0,255,1,0,0,0,1,1,109,179,185,0,0,0,4095,4095,4095,4095
1,33,30,22,70,0,185,0,985,10,69,1,0,0,99,0,0,0,0,255,1,0,0,0,1,1,110,187,196,4095,4095,4095,4095,4095,4095,4095
1,13,33,22,79,0,292,0,1092,10,139,1,0,0,147,0,0,0,0,255,1,0,0,0,1,1,109,187,202,4095,4095,4095,4095,4095,4095,4095
1,0,19,0,0,0,0,0,0,30,0,0,0,0,173,1,0,0,1,255,1,0,0,0,1,0,110,187,207,4095,4095,0,0,0,4095,4095
1,0,6,0,0,0,0,0,0,30,0,0,0,0,173,1,0,0,1,255,1,0,0,0,1,0,109,187,207,4095,4095,0,0,0,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,173,1,0,0,1,255,1,0,0,0,1,0,110,187,207,4095,4095,0,0,0,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,173,1,0,0,1,255,1,0,0,0,1,0,109,187,207,4095,4095,0,0,0,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,173,1,0,0,1,255,1,0,0,0,1,0,109,187,207,4095,4095,0,0,0,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,173,1,0,0,1,255,1,0,0,0,2,0,110,187,207,4095,4095,0,0,0,4095,4095
2,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,255,1,0,0,0,2,0,110,0,0,4095,4095,0,0,0,4095,4095
2,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,255,1,0,0,0,2,0,110,0,0,4095,4095,0,0,0,4095,4095
2,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,255,1,0,0,0,2,0,109,0,0,4095,4095,0,0,0,4095,4095
2,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,255,1,0,0,0,2,0,108,0,0,4095,4095,0,0,0,4095,4095
2,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,255,1,0,0,0,2,0,109,0,0,4095,4095,0,0,0,4095,4095
2,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,255,1,0,0,0,2,0,109,0,0,4095,4095,0,0,0,4095,4095
2,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,255,1,0,0,0,2,0,110,0,0,4095,4095,0,0,0,4095,4095
2,0,0,28,0,87,52,1057,1142,35,0,0,0,0,4,0,0,0,0,255,1,0,0,0,3,1,108,0,1,4095,4095,4095,0,0,4095,4095
2,9,13,28,70,20,166,990,1106,30,0,0,0,0,-7,0,0,0,0,255,1,0,0,0,3,1,109,8,8,4095,4095,1365,0,0,4095,4095
2,33,26,28,70,20,282,790,1082,5,0,1,0,0,-1,0,0,0,0,255,1,0,0,0,3,1,109,19,18,0,0,4095,4095,4095,4095,4095
2,30,33,28,78,42,113,892,1053,20,0,0,0,0,8,0,0,0,0,255,1,0,0,0,3,1,109,27,28,4095,0,0,0,4095,4095,4095
2,26,33,28,81,98,63,948,1003,35,0,0,0,0,5,0,0,0,0,255,1,0,0,0,3,1,109,35,36,4095,4095,4095,0,0,4095,4095
2,30,26,28,82,99,64,949,1004,35,0,0,0,0,-4,0,0,0,0,255,1,0,0,0,3,1,108,45,45,4095,4095,4095,0,0,4095,4095
2,33,30,28,73,20,286,790,1086,5,0,1,0,0,-3,0,0,0,0,255,1,0,0,0,3,1,109,55,54,0,0,4095,4095,4095,4095,4095
2,33,33,28,71,21,146,871,1086,15,0,0,0,0,5,0,0,0,0,255,1,0,0,0,3,1,109,64,65,4095,0,0,4095,4095,4095,4095
2,30,33,28,72,89,54,939,994,35,0,0,0,0,3,0,0,0,0,255,1,0,0,0,3,1,109,73,74,4095,4095,4095,0,0,4095,4095
2,33,30,28,70,52,87,902,1027,25,0,0,0,0,-3,0,0,0,0,255,1,0,0,0,3,1,108,84,83,4095,4095,0,0,4095,4095,4095
2,33,33,28,70,20,145,870,1085,15,0,0,0,0,0,0,0,0,0,255,1,0,0,0,3,1,110,93,93,4095,0,0,4095,4095,4095,4095
2,30,30,28,74,80,67,930,1007,25,0,0,0,0,4,0,0,0,0,255,1,0,0,0,3,1,109,103,103,4095,4095,0,0,4095,4095,4095
