run,L,R,T,out,pid_l,pid_r,sent_l,sent_r,pos,lost,deep,junc,jc,yw,u,sm,rd,sg,ar,rdir,s2,lt,rs,es,fn,bv,el,er,S0,S1,S2,S3,S4,S5,S6
1,0,0,0,0,0,0,0,0,25,0,0,0,0,-1262,1,0,0,0,255,1,0,0,0,1,0,110,0,0,4095,4095,0,0,4095,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,-1262,1,0,0,0,255,1,0,0,0,1,0,110,0,0,4095,4095,0,0,1365,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,-1262,1,0,0,0,255,1,0,0,0,1,0,110,0,0,4095,4095,0,0,0,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,-1262,1,0,0,0,255,1,0,0,0,1,0,111,0,0,4095,4095,0,0,0,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,-1262,1,0,0,0,255,1,0,0,0,1,0,110,0,0,4095,4095,0,0,0,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,-1262,1,0,0,0,255,1,0,0,0,1,0,110,0,0,4095,4095,0,0,0,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,-1262,1,0,0,0,255,1,0,0,0,1,0,109,0,0,4095,4095,0,0,0,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,-1262,1,0,0,0,255,1,0,0,0,1,0,110,0,0,4095,4095,0,0,0,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,-1262,1,0,0,0,255,1,0,0,0,1,0,110,0,0,4095,4095,0,0,0,4095,4095
1,0,0,28,0,70,70,1024,1144,30,0,0,0,0,1,0,0,0,0,255,1,0,0,0,1,1,109,0,0,4095,4095,0,0,0,4095,4095
1,3,3,28,70,145,20,1115,1110,45,0,0,0,0,3,0,0,0,0,255,1,0,0,0,1,1,109,3,4,4095,4095,4095,4095,0,0,4095
1,19,19,28,70,69,70,919,1010,30,0,0,0,0,-6,0,0,0,0,255,1,0,0,0,1,1,109,13,12,4095,4095,0,0,0,4095,4095
1,33,33,28,70,20,282,790,1082,5,0,1,0,0,0,0,0,0,0,255,1,0,0,0,1,1,108,23,23,0,0,4095,4095,4095,4095,4095
1,33,33,28,76,39,114,889,1054,20,0,0,0,0,8,0,0,0,0,255,1,0,0,0,1,1,108,31,32,4095,1365,0,0,4095,4095,4095
1,23,26,28,90,165,40,1015,980,45,0,0,0,0,1,0,0,0,0,255,1,0,0,0,1,1,109,40,40,4095,4095,4095,4095,0,0,4095
1,33,30,28,72,34,111,884,1051,20,0,0,0,0,-5,0,0,0,0,255,1,0,0,0,1,1,108,50,50,4095,0,0,0,4095,4095,4095
1,33,33,28,72,20,285,790,1085,5,0,1,0,0,3,0,0,0,0,255,1,0,0,0,1,1,108,60,60,0,0,4095,4095,4095,4095,4095
