run,L,R,T,out,pid_l,pid_r,sent_l,sent_r,pos,lost,deep,junc,jc,yw,u,sm,rd,sg,ar,rdir,s2,lt,rs,es,fn,bv,el,er,S0,S1,S2,S3,S4,S5,S6
1,0,0,0,0,0,0,0,0,30,0,0,0,0,2220,1,0,0,0,255,1,0,0,0,2,0,109,0,0,4095,4095,0,0,0,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,2220,1,0,0,0,255,1,0,0,0,2,0,109,0,0,4095,4095,0,0,0,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,2220,1,0,0,0,255,1,0,0,0,2,0,109,0,0,4095,4095,0,0,0,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,2220,1,0,0,0,255,1,0,0,0,2,0,109,0,0,4095,4095,0,0,0,4095,4095
1,0,0,0,0,0,0,0,0,30,0,0,0,0,2220,1,0,0,0,255,1,0,0,0,2,0,109,0,0,4095,4095,0,0,0,4095,4095
1,0,0,28,0,106,33,1076,1123,30,0,0,0,0,-1,0,0,0,0,255,1,0,0,0,3,1,109,1,1,4095,4095,0,0,1365,4095,4095
1,9,13,28,70,20,131,990,1071,20,0,0,0,0,-5,0,0,0,0,255,1,0,0,0,3,1,109,8,8,4095,0,0,0,4095,4095,4095
1,33,26,28,70,20,282,790,1082,5,0,1,0,0,0,0,0,0,0,255,1,0,0,0,3,1,109,18,18,0,0,4095,4095,4095,4095,4095
1,30,33,28,78,40,115,890,1055,20,0,0,0,0,13,0,0,0,0,255,1,0,0,0,3,1,109,26,28,4095,0,0,0,4095,4095,4095
1,23,30,28,87,299,20,1069,820,55,0,1,0,0,-1,0,0,0,0,255,1,0,0,0,3,1,110,34,35,4095,4095,4095,4095,4095,0,0
1,30,23,28,84,20,297,790,1097,5,0,1,0,0,-10,0,0,0,0,255,1,0,0,0,3,1,109,44,42,0,0,4095,4095,4095,4095,4095
1,30,26,28,82,0,295,0,1095,0,0,1,0,0,17,0,0,0,0,255,1,0,0,0,3,1,109,52,52,0,4095,4095,4095,4095,4095,4095
1,20,36,22,83,403,20,1173,820,60,35,1,0,0,30,0,0,0,0,255,1,0,0,0,3,1,108,56,61,4095,4095,4095,4095,4095,4095,4095
1,26,23,28,79,232,0,1002,0,55,0,1,0,0,-47,0,0,0,0,255,1,0,0,0,3,1,109,67,64,4095,4095,4095,4095,4095,0,0
1,33,0,22,108,230,0,1000,0,55,69,1,0,0,-124,0,0,0,0,255,1,0,0,0,3,1,109,77,64,4095,4095,4095,4095,4095,4095,4095
1,33,0,0,0,0,0,0,0,55,0,0,0,0,-166,1,0,0,1,255,1,0,0,0,3,0,109,85,64,4095,4095,4095,4095,4095,4095,4095
1,13,0,0,0,0,0,0,0,55,0,0,0,0,-166,1,0,0,1,255,1,0,0,0,3,0,110,85,64,4095,4095,4095,4095,4095,4095,4095
